Unnamed: 0,0,1,2,3,4,5,6,7
94,4.9,No tiene datos,Patrick Lussier,Joel Soisson,"Un grupo de ladrones irrumpe en una cámara esperando encontrar pinturas, pero en cambio, ellos mismos liberan al Conde, que viaja a Nueva Orleans para encontrar a la hija de su némesis, Mary Van Helsing.",99,Drácula 2001,tt0219653
95,3.2,No tiene datos,Fred Olen Ray,Steve Latshaw,Navy SEALs launch a rescue mission after terrorists plunge a jet carrying a missile-launching computer into the sea.,95,Rescate desesperado,tt0218641
96,6.6,No tiene datos,Bruno Bichir,No tiene datos,No tiene datos,No tiene datos,La máscara de Zorro,tt0219169
97,6.7,No tiene datos,Rajkumar Santoshi,"Vijay Deveshwar, K.K. Raina, Anjum Rajabali",Un notorio terrorista manipula a la despechada amante de un mayor del ejército indio para que lo ayude a obtener un código militar clasificado.,176,Pukar,tt0218533
98,No tiene datos,No tiene datos,Marc Baron,Marc BaronJoe Cirillo,No tiene datos,No tiene datos,Blue Shirts,tt0220336
99,4.1,70,Jean Pellerin,"Geri Cudia Barger, Jonathan Raymond, Phillip J. Roth",People are trying to find their way out of subway tunnel after a devastating earthquake.,94,Daybreak,tt0219640
100,4.4,No tiene datos,Christopher Coppola,"Richard L. Albert, Mike Allred, Robert Cooper","Two G-Men, returning from hell, must perform good deeds to save themselves from a doomed fate.",98,G-Men from Hell,tt0221197
101,4.5,38,Sanjay Gupta,"Sanjay Gupta, Sutanu Gupta, Anand S. Vardhan","An assassin is sent to kill the witness from testifying against the killers. In the process, the assassin falls in love with the witness.",124,Khauff,tt0220596
102,3.3,No tiene datos,Fred Olen Ray,Steve Latshaw,"Secret Service agents target a presidential candidate by hijacking the Concorde he is on and kill the pilots. It's up to an Air Force officer, nicknamed ""Washout"" because he can't fly a plane, to land the Concorde.",94,Pánico en el Concorde,tt0222020
103,3.3,No tiene datos,Yossi Wein,"Danny Lerner, Bernard Stone",An elite task force is assigned to handle a Middle-Eastern terrorist mastermind who is using mind-control techniques to create an army of willing suicide bombers.,91,Fuerza delta V,tt0227200
104,6.0,No tiene datos,Beda Docampo Feijóo,"Enrique Cortés, Beda Docampo Feijóo",It opens with a murder. Abelardo Sachs is the owner and editor of a famous political magazine He's gunned down in his luxurious home by a masked killer.,90,Ojos que no ven,tt0226238
105,6.3,No tiene datos,Taylor Hackford,Tony Gilroy,"Alice contrata a un negociador profesional para conseguir liberar a su marido, que ha sido secuestrado por las guerrillas antigubernamentales de América del Sur.",135,Prueba de vida,tt0228750
106,6.8,No tiene datos,Hirochika Muraishi,Keiichi Hasegawa,"Two years after the events of 'Ultraman Tiga', Daigo is forced to pick up another Dark Spark Lens in an attempt to stop three evils the once, dark Tiga worked with 30 million years ago, to stop destruction in Japan once and for all.",85,Ultraman Tiga: The Final Odyssey,tt0228982
107,3.9,59,Michael Martin,"Michael Martin, Snoop Dogg","Killa Pop (Snoop Dogg), Young Loc (Darryl Brunson), Crackle (Tray Deee), and Snap (Goldie Loc) are top dogs in the Eastsidaz gang in Long Beach, California. Pop, also known as Killa Pop, is the alpha dog. He has Crackle and Big Long Beach (RBX), set up a big Jamaican drug deal that's going to put him on easy street. But Crackle and Big Long Beach have their own agenda... Leer todo",81,Tha Eastsidaz,tt0229362
108,2.8,No tiene datos,Rob Van Eyck,Rob Van Eyck,Two criminals form a pact to destroy Belgium so that their principals can take over the government and restore order with a firm hand.,93,Blue Belgium,tt0230049
109,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt0230055
110,5.2,0,Harry Ralston,Harry Ralston,"Alan, a timid anthropology graduate student is coming to terms with his fate as the last man on Earth, until he discovers Sarah, a beautiful, intelligent woman who can't stand that Alan is the last man she'll ever see.",95,The Last Man,tt0231956
111,3.7,No tiene datos,Dharmesh Darshan,"Robin Bhatt, Dharmesh Darshan, Sanjeev Duggal","When a village belle's brother is killed by a bandit, she vows revenge and enlists the help of two truckers-come-theatre artists in her mission.",172,Mela,tt0232079
112,4.0,No tiene datos,Norman Lesperance,"Norman Lesperance, André Øvredal","The pathetic surgeon Simon Thorne suffers from paranoia, obsessions and hallucinations, and loses both his wife and his job. But then he meets a couple from one of his dreams where they kill him. So he has to kill them first.",92,Future Murder,tt0233764
113,3.6,90,Richard Pepin,"Gregg Mc, Bride",A detective assigned to transport a dangerous mobster discovers that she has been set-up to fail.,102,Epicentro,tt0233656
114,7.0,No tiene datos,Graham Moore,"Graham Moore, Shaun Prendergast, Stuart Urban","On patrol in the South Seas, British Type-23 frigate HMS Monarch receives a distress call from the merchant vessel Corona, which has been carrying gold bullion and is under attack from pirates. Responding to the call, the Captain and crew of HMS Monarch find themselves drawn into a struggle against the megalomaniac ambitions of a despotic warlord. With the lives of ho... Leer todo",No tiene datos,Command Approved,tt0234321
115,6.9,No tiene datos,Rakesh Roshan,Rakesh Roshan,A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.,172,Reencuentro con el destino,tt0234000
116,3.1,No tiene datos,Oscar Petersson,Oscar Petersson,"A female assassin hides with a man from her past, when the organization she works for is trying to kill her instead.",97,Inte bara mördare,tt0235485
117,5.8,No tiene datos,Kunihiko Yuyama,Takeshi Shudô,"In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.",93,Pokémon 3: El hechizo de los Unown,tt0235679
118,5.2,No tiene datos,Toshiyuki Mizutani,"Hiroshi Hatajima, Mugita Kinoshita, Yûsuke Kishi","When a woman, able to read the thoughts of others, comes to help survivors of the 1995 Kobe earthquake, she encounters a girl with Multiple Personality Disorder whose dangerous 13th personality, Isola, must be stopped.",94,Isola (Múltiples personalidades),tt0233910
119,7.5,No tiene datos,Anders Thomas Jensen,Anders Thomas Jensen,"A gang of 4 Danish criminals are ordered by Færingen to steal a bag from a safe. When they see DKK4,000,000 in the bag, they keep it for themselves and head for Spain. They end up in a ruin of an old restaurant on Jutland and renovate it.",109,Luces parpadeantes,tt0236027
120,5.8,No tiene datos,Jingle Ma,Susan Chan,"Is anyone who he says he is in this caper that moves from Hong Kong and Las Vegas to Tokyo? Ken doesn't show up in Vegas for his wedding; his disconsolate bride, Macy, heads home for Hong Kong and finds John, an interior decorator, waiving a check of Ken's that has bounced. She leaves immediately for Tokyo to find her businessman boyfriend, and John tags along. Ken's ... Leer todo",118,Tokyo Raiders,tt0233600
121,6.7,No tiene datos,Kon Ichikawa,"Akira Kurosawa, Keisuke Kinoshita, Kon Ichikawa",New magistrate cleans up a corrupt town in his own comic Samurai way.,111,Dora-heita,tt0236167
122,7.6,No tiene datos,Aleksey Balabanov,Aleksey Balabanov,"Arriving in Moscow, Danila discovers Konstantin dead and he sets out to avenge his death; a journey that leads him to Chicago and a whole new experience.",122,Brat 2,tt0238883
123,7.3,49,Sabu,Sabu,A simple funeral turns a man's world topsy turvy.,100,Monday,tt0239655
124,4.8,88,Craig Clyde,Bryce W. Fillmore,"A teenage girl and her dog are stranded in the desert. With the help of a young illegal immigrant on the run, they try to make it out alive together.",81,Castle Rock,tt0240400
